UserId;FirstName;LastName;BirthDate;MaritalStatus;Gender;YearlyIncome;Education;Occupation;HouseOwnerFlag;TotalChildren;NumberChildrenAtHome;NumberCarsOwned;DateFirstPurchase;CommuteDistance
jon24;Jon;Yang;1971-10-06;M;M;90000,00;Bachelors;Professional;1;2;0;0;2011-01-19;1-2 Miles
eugene10;Eugene;Huang;1976-05-10;S;M;60000,00;Bachelors;Professional;0;3;3;1;2011-01-15;0-1 Miles
ruben35;Ruben;Torres;1971-02-09;M;M;60000,00;Bachelors;Professional;1;3;3;1;2011-01-07;2-5 Miles
christy12;Christy;Zhu;1973-08-14;S;F;70000,00;Bachelors;Professional;0;0;0;1;2010-12-29;5-10 Miles
elizabeth5;Elizabeth;Johnson;1979-08-05;S;F;80000,00;Bachelors;Professional;1;5;5;4;2011-01-23;1-2 Miles
julio1;Julio;Ruiz;1976-08-01;S;M;70000,00;Bachelors;Professional;1;0;0;1;2010-12-30;5-10 Miles
janet9;Janet;Alvarez;1976-12-02;S;F;70000,00;Bachelors;Professional;1;0;0;1;2011-01-24;5-10 Miles
marco14;Marco;Mehta;1969-11-06;M;M;60000,00;Bachelors;Professional;1;3;3;2;2011-01-09;0-1 Miles
rob4;Rob;Verhoff;1975-07-04;S;F;60000,00;Bachelors;Professional;1;4;4;3;2011-01-25;10+ Miles
shannon38;Shannon;Carlson;1969-09-29;S;M;70000,00;Bachelors;Professional;0;0;0;1;2011-01-27;5-10 Miles
jacquelyn20;Jacquelyn;Suarez;1969-08-05;S;F;70000,00;Bachelors;Professional;0;0;0;1;2011-01-14;5-10 Miles
curtis9;Curtis;Lu;1969-05-03;M;M;60000,00;Bachelors;Professional;1;4;4;4;2010-12-30;10+ Miles
lauren41;Lauren;Walker;1979-01-14;M;F;100000,00;Bachelors;Management;1;2;0;2;2013-03-16;1-2 Miles
ian47;Ian;Jenkins;1979-08-03;M;M;100000,00;Bachelors;Management;1;2;0;3;2013-04-13;0-1 Miles
sydney23;Sydney;Bennett;1973-11-06;S;F;100000,00;Bachelors;Management;0;3;0;3;2013-03-23;1-2 Miles
chloe23;Chloe;Young;1984-08-26;S;F;30000,00;Partial College;Skilled Manual;0;0;0;1;2013-01-18;5-10 Miles
wyatt32;Wyatt;Hill;1984-10-25;M;M;30000,00;Partial College;Skilled Manual;1;0;0;1;2013-02-09;5-10 Miles
shannon1;Shannon;Wang;1949-12-24;S;F;20000,00;High School;Skilled Manual;1;4;0;2;2011-01-12;5-10 Miles
clarence32;Clarence;Rai;1955-10-06;S;M;30000,00;Partial College;Clerical;1;2;0;2;2011-01-17;5-10 Miles
luke18;Luke;Lal;1983-09-04;S;M;40000,00;High School;Skilled Manual;0;0;0;2;2013-02-12;5-10 Miles
jordan73;Jordan;King;1984-03-19;S;M;40000,00;High School;Skilled Manual;0;0;0;2;2012-12-29;1-2 Miles
destiny7;Destiny;Wilson;1984-03-02;S;F;40000,00;Partial College;Skilled Manual;0;0;0;1;2013-01-23;1-2 Miles
ethan20;Ethan;Zhang;1984-04-10;M;M;40000,00;Partial College;Skilled Manual;1;0;0;1;2013-01-20;5-10 Miles
seth46;Seth;Edwards;1984-04-09;M;M;40000,00;Partial College;Skilled Manual;1;0;0;1;2013-02-17;1-2 Miles
russell7;Russell;Xie;1984-03-16;M;M;60000,00;Partial College;Skilled Manual;1;0;0;2;2013-06-27;5-10 Miles
alejandro45;Alejandro;Beck;1951-06-22;M;M;10000,00;Partial High School;Clerical;1;2;1;2;2011-01-06;1-2 Miles
harold3;Harold;Sai;1951-10-01;S;M;30000,00;Partial College;Clerical;0;2;0;2;2011-01-23;1-2 Miles
jessie16;Jessie;Zhao;1952-06-05;M;M;30000,00;Partial College;Clerical;1;2;0;2;2011-01-16;5-10 Miles
jill13;Jill;Jimenez;1951-10-09;M;F;30000,00;Partial College;Clerical;1;2;0;2;2011-01-26;1-2 Miles
jimmy9;Jimmy;Moreno;1952-06-19;M;M;30000,00;Partial College;Clerical;1;2;0;2;2011-01-19;1-2 Miles
bethany10;Bethany;Yuan;1958-02-18;M;F;10000,00;Partial High School;Clerical;1;2;1;2;2011-02-05;1-2 Miles
theresa13;Theresa;Ramos;1953-02-18;M;F;20000,00;High School;Skilled Manual;1;4;0;2;2011-02-01;1-2 Miles
denise10;Denise;Stone;1952-12-08;M;F;20000,00;High School;Skilled Manual;1;4;0;2;2011-02-18;1-2 Miles
jaime41;Jaime;Nath;1958-09-19;M;M;20000,00;High School;Skilled Manual;1;4;0;2;2011-02-15;5-10 Miles
ebony19;Ebony;Gonzalez;1952-12-16;M;F;20000,00;High School;Skilled Manual;1;4;0;2;2011-02-01;5-10 Miles
wendy12;Wendy;Dominguez;1953-08-23;M;F;10000,00;Partial High School;Clerical;1;2;1;2;2011-02-06;1-2 Miles
jennifer93;Jennifer;Russell;1984-06-16;M;F;60000,00;Partial College;Skilled Manual;1;0;0;2;2013-01-22;1-2 Miles
chloe27;Chloe;Garcia;1983-05-27;S;F;40000,00;Partial High School;Clerical;0;0;0;2;2013-01-20;5-10 Miles
diana2;Diana;Hernandez;1953-09-20;M;F;10000,00;Partial High School;Clerical;1;2;1;2;2011-02-07;5-10 Miles
marc3;Marc;Martin;1954-06-16;M;M;30000,00;Partial College;Clerical;1;3;0;2;2011-02-07;5-10 Miles
jesse15;Jesse;Murphy;1983-01-29;M;M;30000,00;Partial College;Skilled Manual;1;0;0;2;2013-04-03;1-2 Miles
amanda53;Amanda;Carter;1983-04-15;M;F;60000,00;Partial College;Skilled Manual;1;0;0;2;2013-01-14;1-2 Miles
megan28;Megan;Sanchez;1982-12-11;M;F;70000,00;Partial College;Skilled Manual;1;0;0;2;2013-01-21;0-1 Miles
nathan11;Nathan;Simmons;1981-08-23;M;M;60000,00;Partial College;Skilled Manual;1;0;0;2;2013-05-08;5-10 Miles
adam10;Adam;Flores;1954-11-21;M;M;20000,00;Partial High School;Clerical;1;2;1;2;2011-02-28;1-2 Miles
leonard18;Leonard;Nara;1955-11-16;S;M;30000,00;High School;Skilled Manual;0;3;0;2;2013-04-10;1-2 Miles
christine4;Christine;Yuan;1955-09-19;M;F;30000,00;High School;Skilled Manual;1;3;0;2;2011-02-06;5-10 Miles
jaclyn12;Jaclyn;Lu;1955-08-27;M;F;30000,00;High School;Skilled Manual;0;3;0;2;2011-02-03;1-2 Miles
jeremy26;Jeremy;Powell;1956-05-21;M;M;30000,00;High School;Skilled Manual;1;3;0;2;2011-02-10;5-10 Miles
carol8;Carol;Rai;1986-01-15;S;F;40000,00;Partial High School;Clerical;1;0;0;2;2013-03-09;5-10 Miles
alan23;Alan;Zheng;1957-03-06;M;M;30000,00;High School;Skilled Manual;1;3;0;2;2011-02-20;5-10 Miles
daniel18;Daniel;Johnson;1957-01-31;S;M;30000,00;High School;Skilled Manual;0;3;0;2;2013-12-29;1-2 Miles
heidi19;Heidi;Lopez;1957-02-03;S;F;40000,00;Partial College;Clerical;0;2;0;2;2011-02-17;5-10 Miles
ana0;Ana;Price;1986-02-17;M;F;60000,00;Partial College;Skilled Manual;0;0;0;2;2013-01-17;1-2 Miles
deanna33;Deanna;Munoz;1957-09-07;M;F;40000,00;Partial College;Skilled Manual;1;2;0;2;2011-02-03;5-10 Miles
gilbert35;Gilbert;Raje;1957-09-02;M;M;40000,00;Partial College;Skilled Manual;1;2;0;2;2011-01-31;5-10 Miles
michele19;Michele;Nath;1958-10-01;M;F;40000,00;Partial College;Skilled Manual;1;3;0;2;2011-02-26;5-10 Miles
carl12;Carl;Andersen;1970-04-07;M;M;70000,00;Graduate Degree;Management;1;2;0;2;2011-02-22;1-2 Miles
marc6;Marc;Diaz;1965-04-23;M;M;80000,00;Partial College;Skilled Manual;1;2;0;2;2011-03-09;1-2 Miles
ashlee19;Ashlee;Andersen;1959-09-29;S;F;80000,00;Partial College;Skilled Manual;1;2;0;2;2013-02-18;5-10 Miles
jon28;Jon;Zhou;1959-09-14;M;M;80000,00;Partial College;Skilled Manual;1;2;0;2;2011-03-19;5-10 Miles
todd14;Todd;Gao;1976-02-20;M;M;80000,00;Partial College;Skilled Manual;1;2;0;2;2011-03-13;5-10 Miles
noah5;Noah;Powell;1981-03-01;M;M;40000,00;High School;Skilled Manual;1;0;0;2;2013-01-07;5-10 Miles
angela41;Angela;Murphy;1980-10-04;S;F;40000,00;High School;Skilled Manual;1;0;0;2;2013-01-12;5-10 Miles
chase21;Chase;Reed;1981-06-05;M;M;40000,00;High School;Skilled Manual;1;0;0;2;2013-01-25;5-10 Miles
jessica29;Jessica;Henderson;1979-04-08;M;F;60000,00;Partial College;Skilled Manual;0;0;0;2;2013-02-10;1-2 Miles
grace62;Grace;Butler;1979-05-27;M;F;70000,00;Partial College;Professional;1;0;0;2;2013-05-31;5-10 Miles
caleb40;Caleb;Carter;1982-03-25;S;M;60000,00;Partial College;Professional;1;0;0;2;2013-08-18;5-10 Miles
tiffany17;Tiffany;Liang;1966-09-19;S;F;80000,00;High School;Skilled Manual;1;2;0;2;2013-04-30;5-10 Miles
carolyn30;Carolyn;Navarro;1966-09-17;S;F;80000,00;High School;Skilled Manual;0;2;0;2;2011-04-17;1-2 Miles
